propulso_id	lat	lng	delta_time	date	time
01f5669620394c3	46.340660	-72.540000	1531	2023-06-09	18:04:44
c63177a9763010e	46.340520	-72.604000	1608	2023-06-09	18:07:51
01f5669620394c3	46.370560	-72.559620	1319	2023-06-09	18:08:16
c63177a9763010e	46.372720	-72.679870	1508	2023-06-09	18:09:31
01f5669620394c3	46.340660	-72.540000	1222	2023-06-09	18:09:53
01f5669620394c3	46.370560	-72.559620	1215	2023-06-09	18:10:00
c63177a9763010e	46.372720	-72.679870	1427	2023-06-09	18:10:52
01f5669620394c3	46.340660	-72.540000	1154	2023-06-09	18:11:01
c63177a9763010e	46.193001	-73.114899	1416	2023-06-09	18:11:03
c63177a9763010e	46.340520	-72.604000	1333	2023-06-09	18:12:26
01f5669620394c3	46.370560	-72.559620	1028	2023-06-09	18:13:07
cb411ab8683a2a4	46.352867	-72.542770	1233	2023-06-09	18:13:39
c63177a9763010e	46.340520	-72.604000	976	2023-06-09	18:18:23
6bf8edeac5e1095	46.372720	-72.679870	1712	2023-06-09	18:18:37
c63177a9763010e	46.372720	-72.679870	909	2023-06-09	18:19:30
c63177a9763010e	46.340520	-72.604000	875	2023-06-09	18:20:04
6bf8edeac5e1095	46.372720	-72.679870	1586	2023-06-09	18:20:43
01f5669620394c3	46.340660	-72.540000	185	2023-06-09	18:27:10
167cfa32bd06816	46.328040	-72.609490	449	2023-06-09	18:27:37
c63177a9763010e	46.340520	-72.604000	358	2023-06-09	18:28:41
167cfa32bd06816	46.328040	-72.609490	371	2023-06-09	18:28:55
01f5669620394c3	46.340660	-72.540000	69	2023-06-09	18:29:06
c63177a9763010e	46.372720	-72.679870	332	2023-06-09	18:29:07
01f5669620394c3	46.340660	-72.540000	0	2023-06-09	18:30:15
c63177a9763010e	46.372720	-72.679870	236	2023-06-09	18:30:43
c63177a9763010e	46.340520	-72.604000	211	2023-06-09	18:31:08
167cfa32bd06816	46.311530	-72.692460	92	2023-06-09	18:33:34
cb411ab8683a2a4	46.352867	-72.542770	0	2023-06-09	18:34:12
cb411ab8683a2a4	46.352867	-72.542770	0	2023-06-09	18:36:07
c63177a9763010e	46.340520	-72.604000	-77	2023-06-09	18:36:37
c63177a9763010e	46.372720	-72.679870	-223	2023-06-09	18:39:03
c63177a9763010e	46.372720	-72.679870	-287	2023-06-09	18:40:07
6bf8edeac5e1095	46.372720	-72.679870	360	2023-06-09	18:41:09
c63177a9763010e	46.340520	-72.604000	-465	2023-06-09	18:43:05
